"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"1","1. Female population age 6 years and above who ever attended school (%)",75.5,61.2,65.6,62,"Andhra Pradesh","","","",""
"2","2. Population below age 15 years (%)",21.3,22.6,22.2,23.7,"Andhra Pradesh","","","",""
"3","3. Sex ratio of the total population (females per 1,000 males)",1024,1055,1045,1021,"Andhra Pradesh","","","",""
"4","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",877,957,934,914,"Andhra Pradesh","","","",""
"5","5. Children under age 5 years whose birth was registered with the civil authority (%)",93.8,91.6,92.2,82.7,"Andhra Pradesh","","","",""
"6","6. Deaths in the last 3 years registered with the civil authority (%)",89.4,76.6,80.2,NA,"Andhra Pradesh","","","",""
"7","7. Population living in households with electricity (%)",99.6,99.4,99.5,99.2,"Andhra Pradesh","","","",""
"8","8. Population living in households with an improved drinking-water source1 (%)",99.4,95.4,96.7,95.6,"Andhra Pradesh","","","",""
"9","9. Population living in households that use an improved sanitation facility2 (%)",89.1,72.1,77.3,54.4,"Andhra Pradesh","","","",""
"10","10. Households using clean fuel for cooking3 (%)",96.6,77.9,83.6,62,"Andhra Pradesh","","","",""
"11","11. Households using iodized salt (%)",89.3,80.4,83.1,81.6,"Andhra Pradesh","","","",""
"12","12. Households with any usual member covered under a health insurance/financing scheme (%)",62.2,73.7,70.2,74.6,"Andhra Pradesh","","","",""
"13","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",10.2,9.8,9.9,NA,"Andhra Pradesh","","","",""
"14","14. Women who are literate4 (%)",79,63.8,68.6,NA,"Andhra Pradesh","","","",""
"15","15. Men who are literate4 (%)",86.4,76.3,79.5,NA,"Andhra Pradesh","","","",""
"16","16. Women with 10 or more years of schooling (%)",51.2,34.3,39.6,34.3,"Andhra Pradesh","","","",""
"17","17. Men with 10 or more years of schooling (%)",59.5,42.5,47.9,51.3,"Andhra Pradesh","","","",""
"18","18. Women who have ever used the internet (%)",33.9,15.4,21,NA,"Andhra Pradesh","","","",""
"19","19. Men who have ever used the internet (%)",65.1,41.5,48.8,NA,"Andhra Pradesh","","","",""
"20","20. Women age 20-24 years married before age 18 years (%)",21.7,32.9,29.3,33,"Andhra Pradesh","","","",""
"21","21. Men age 25-29 years married before age 21 years (%)",13.1,15.2,14.5,15.8,"Andhra Pradesh","","","",""
"22","22. Total fertility rate (children per woman)",1.5,1.8,1.7,1.8,"Andhra Pradesh","","","",""
"23","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",9.3,14.1,12.6,11.8,"Andhra Pradesh","","","",""
"24","24. Adolescent fertility rate for women age 15-19 years5",40,80,67,83,"Andhra Pradesh","","","",""
"25","25. Neonatal mortality rate (NNMR)",14.4,22.1,19.9,23.6,"Andhra Pradesh","","","",""
"26","26. Infant mortality rate (IMR)",29.8,30.4,30.3,34.9,"Andhra Pradesh","","","",""
"27","27. Under-five mortality rate (U5MR)",33.7,35.8,35.2,40.8,"Andhra Pradesh","","","",""
"28","28. Any method6 (%)",70.8,71.2,71.1,69.5,"Andhra Pradesh","","","",""
"29","29. Any modern method6 (%)",70.3,71.1,70.8,69.4,"Andhra Pradesh","","","",""
"30","30. Female sterilization (%)",68.3,70.2,69.6,68.3,"Andhra Pradesh","","","",""
"31","31. Male sterilization (%)",0.6,0.4,0.4,0.6,"Andhra Pradesh","","","",""
"32","32. IUD/PPIUD (%)",0.2,0.1,0.2,0.2,"Andhra Pradesh","","","",""
"33","33. Pill (%)",0.1,0.1,0.1,0.2,"Andhra Pradesh","","","",""
"34","34. Condom (%)",0.9,0.3,0.5,0.2,"Andhra Pradesh","","","",""
"35","35. Injectables (%)",0,0,0,0,"Andhra Pradesh","","","",""
"36","36. Total unmet need7 (%)",5.2,4.4,4.7,4.7,"Andhra Pradesh","","","",""
"37","37. Unmet need for spacing7 (%)",2.3,2.8,2.6,3.1,"Andhra Pradesh","","","",""
"38","38. Health worker ever talked to female non-users about family planning (%)",18.6,18.6,18.6,19.7,"Andhra Pradesh","","","",""
"39","39. Current users ever told about side effects of current method8 (%)",33.6,27.1,28.9,25,"Andhra Pradesh","","","",""
"40","40. Mothers who had an antenatal check-up in the first trimester (%)",82.7,81.3,81.7,82.3,"Andhra Pradesh","","","",""
"41","41. Mothers who had at least 4 antenatal care visits (%)",67.2,67.6,67.5,76.3,"Andhra Pradesh","","","",""
"42","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",92.5,92.9,92.8,94.9,"Andhra Pradesh","","","",""
"43","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",76.7,67.6,70.3,56.1,"Andhra Pradesh","","","",""
"44","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",45.6,39.3,41.1,30.6,"Andhra Pradesh","","","",""
"45","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",94.2,97.5,96.5,92.6,"Andhra Pradesh","","","",""
