"state","district_name","version","nrecords","district_file","status"
"HP","Hamirpur",2020-12-15 13:11:00,104,"Hamirpur.pdf","TRUE"
"HP","Kullu",2020-12-15 13:11:00,104,"Kullu.pdf","TRUE"
"HP","Lahul and Spiti",2020-12-15 13:11:00,104,"Lahul and Spiti.pdf","TRUE"
"HP","Mandi",2020-12-15 13:11:00,104,"Mandi.pdf","TRUE"
"HP","Bilaspur",2020-12-15 13:11:00,104,"Bilaspur.pdf","TRUE"
"HP","Una",2020-12-15 13:11:00,104,"Una.pdf","TRUE"
"HP","Chamba",2020-12-16 23:17:51,104,"Chamba.pdf","TRUE"
"MH","Palghar",2020-12-15 13:11:00,104,"Palghar.pdf","TRUE"
"MH","Thane",2020-12-16 23:17:51,104,"Thane.pdf","TRUE"
"ML","East Garo Hills",2020-12-15 13:11:00,104,"East Garo Hills.pdf","TRUE"
"ML","East Jaintia Hills",2020-12-15 13:11:00,104,"East Jaintia Hills.pdf","TRUE"
"ML","North Garo Hills",2020-12-15 13:11:00,104,"North Garo Hills.pdf","TRUE"
"ML","South West Garo Hills",2020-12-15 13:11:00,104,"South West Garo Hills.pdf","TRUE"
"ML","South West Khasi Hills",2020-12-15 13:11:00,104,"South West Khasi Hills.pdf","TRUE"
"ML","West Jaintia Hills",2020-12-15 13:11:00,104,"West Jaintia Hills.pdf","TRUE"
"ML","West Khasi Hills",2020-12-15 13:11:00,104,"West Khasi Hills.pdf","TRUE"
"TR","Gomati",2020-12-15 13:11:00,104,"Gomati.pdf","TRUE"
"TR","Khowai",2020-12-15 13:11:00,104,"Khowai.pdf","TRUE"
"TR","North Tripura",2020-12-15 13:11:00,104,"North Tripura.pdf","TRUE"
"TR","Sepahijala",2020-12-15 13:11:00,104,"Sepahijala.pdf","TRUE"
"TR","South Tripura",2020-12-15 13:11:00,104,"South Tripura.pdf","TRUE"
"TR","Unakoti",2020-12-15 13:11:00,104,"Unakoti.pdf","TRUE"
"TR","West Tripura",2020-12-15 13:11:00,104,"West Tripura.pdf","TRUE"
"HP","Kangra",2020-12-16 23:17:51,104,"Kangra.pdf","TRUE"
"HP","Kinnaur",2020-12-15 13:11:00,104,"Kinnaur.pdf","TRUE"
"HP","Shimla",2020-12-15 13:11:00,104,"Shimla.pdf","TRUE"
