"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",58.6,NA,"","","TG","Adilabad"
"2. Population below age 15 years (%)",24.8,NA,"","","TG","Adilabad"
"3. Sex ratio of the total population (females per 1,000 males)",992,NA,"","","TG","Adilabad"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",785,NA,"","","TG","Adilabad"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",83.9,NA,"","","TG","Adilabad"
"6. Deaths in the last 3 years registered with the civil authority (%)",77.3,NA,"","","TG","Adilabad"
"7. Population living in households with electricity (%)",99.2,NA,"","","TG","Adilabad"
"8. Population living in households with an improved drinking-water source1 (%)",95.7,NA,"","","TG","Adilabad"
"9. Population living in households that use an improved sanitation facility2 (%)",50.8,NA,"","","TG","Adilabad"
"10. Households using clean fuel for cooking3 (%)",81.6,NA,"","","TG","Adilabad"
"11. Households using iodized salt (%)",97.6,NA,"","","TG","Adilabad"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",63.6,NA,"","","TG","Adilabad"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",6.3,NA,"","","TG","Adilabad"
"14. Women who are literate4 (%)",64.8,NA,"","","TG","Adilabad"
"15. Women with 10 or more years of schooling (%)",41,NA,"","","TG","Adilabad"
"16. Women age 20-24 years married before age 18 years (%)",21.4,NA,"","","TG","Adilabad"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",1.3,NA,"","","TG","Adilabad"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",7.8,NA,"","","TG","Adilabad"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",77.9,NA,"","","TG","Adilabad"
"20. Any method6 (%)",54.3,NA,"","","TG","Adilabad"
"21. Any modern method6 (%)",54.1,NA,"","","TG","Adilabad"
"22. Female sterilization (%)",50.2,NA,"","","TG","Adilabad"
"23. Male sterilization (%)",0.6,NA,"","","TG","Adilabad"
"24. IUD/PPIUD (%)",0,NA,"","","TG","Adilabad"
"25. Pill (%)",1.2,NA,"","","TG","Adilabad"
"26. Condom (%)",1.5,NA,"","","TG","Adilabad"
"27. Injectables (%)",0,NA,"","","TG","Adilabad"
"28. Total unmet need7 (%)",10.1,NA,"","","TG","Adilabad"
"29. Unmet need for spacing7 (%)",4.7,NA,"","","TG","Adilabad"
"30. Health worker ever talked to female non-users about family planning (%)",12,NA,"","","TG","Adilabad"
"31. Current users ever told about side effects of current method8 (%)",32.6,NA,"","","TG","Adilabad"
"32. Mothers who had an antenatal check-up in the first trimester (%)",89.7,NA,"","","TG","Adilabad"
"33. Mothers who had at least 4 antenatal care visits (%)",74.8,NA,"","","TG","Adilabad"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",90.9,NA,"","","TG","Adilabad"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",44.4,NA,"","","TG","Adilabad"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",21.8,NA,"","","TG","Adilabad"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",94.1,NA,"","","TG","Adilabad"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",83.4,NA,"","","TG","Adilabad"
