"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",68.7,67.1,"","","WB","Bankura"
"2. Population below age 15 years (%)",22.6,24.9,"","","WB","Bankura"
"3. Sex ratio of the total population (females per 1,000 males)",1053,1002,"","","WB","Bankura"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1002,1145,"","","WB","Bankura"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",95.6,97.5,"","","WB","Bankura"
"6. Deaths in the last 3 years registered with the civil authority (%)",64.8,NA,"","","WB","Bankura"
"7. Population living in households with electricity (%)",92.3,90.5,"","","WB","Bankura"
"8. Population living in households with an improved drinking-water source1 (%)",96.3,97.9,"","","WB","Bankura"
"9. Population living in households that use an improved sanitation facility2 (%)",49.2,32,"","","WB","Bankura"
"10. Households using clean fuel for cooking3 (%)",20.8,16.3,"","","WB","Bankura"
"11. Households using iodized salt (%)",86.8,88.8,"","","WB","Bankura"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",43.4,48.6,"","","WB","Bankura"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",13.1,NA,"","","WB","Bankura"
"14. Women who are literate4 (%)",68.3,NA,"","","WB","Bankura"
"15. Women with 10 or more years of schooling (%)",27.9,23.2,"","","WB","Bankura"
"16. Women age 20-24 years married before age 18 years (%)",45.7,39,"","","WB","Bankura"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.4,0.7,"","","WB","Bankura"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",16,16.6,"","","WB","Bankura"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",79,47.8,"","","WB","Bankura"
"20. Any method6 (%)",56.7,76.3,"","","WB","Bankura"
"21. Any modern method6 (%)",51.9,69,"","","WB","Bankura"
"22. Female sterilization (%)",26.6,42.8,"","","WB","Bankura"
"23. Male sterilization (%)",0,0,"","","WB","Bankura"
"24. IUD/PPIUD (%)",1.4,0,"","","WB","Bankura"
"25. Pill (%)",19.8,22.9,"","","WB","Bankura"
"26. Condom (%)",3.7,3.2,"","","WB","Bankura"
"27. Injectables (%)",0,0,"","","WB","Bankura"
"28. Total unmet need7 (%)",12,5.7,"","","WB","Bankura"
"29. Unmet need for spacing7 (%)",4.7,2.7,"","","WB","Bankura"
"30. Health worker ever talked to female non-users about family planning (%)",12.4,16.5,"","","WB","Bankura"
"31. Current users ever told about side effects of current method8 (%)",43.6,50.3,"","","WB","Bankura"
