"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",86.7,84.8,"","","HP","Hamirpur"
"2. Population below age 15 years (%)",20.3,24.6,"","","HP","Hamirpur"
"3. Sex ratio of the total population (females per 1,000 males)",1182,1225,"","","HP","Hamirpur"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1073,954,"","","HP","Hamirpur"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",96.4,99.6,"","","HP","Hamirpur"
"6. Deaths in the last 3 years registered with the civil authority (%)",96.9,NA,"","","HP","Hamirpur"
"7. Population living in households with electricity (%)",99.7,99.7,"","","HP","Hamirpur"
"8. Population living in households with an improved drinking-water source1 (%)",98,96.3,"","","HP","Hamirpur"
"9. Population living in households that use an improved sanitation facility2 (%)",85.5,84.1,"","","HP","Hamirpur"
"10. Households using clean fuel for cooking3 (%)",44.7,24.3,"","","HP","Hamirpur"
"11. Households using iodized salt (%)",99.2,98.8,"","","HP","Hamirpur"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",32,12.8,"","","HP","Hamirpur"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",3.5,NA,"","","HP","Hamirpur"
"14. Women who are literate4 (%)",94.8,NA,"","","HP","Hamirpur"
"15. Women with 10 or more years of schooling (%)",76.1,67.6,"","","HP","Hamirpur"
"16. Women age 20-24 years married before age 18 years (%)",3.5,3,"","","HP","Hamirpur"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.6,0.9,"","","HP","Hamirpur"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2.8,1.6,"","","HP","Hamirpur"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",94.3,82.7,"","","HP","Hamirpur"
"20. Any method6 (%)",57.7,44,"","","HP","Hamirpur"
"21. Any modern method6 (%)",51.4,43,"","","HP","Hamirpur"
"22. Female sterilization (%)",35,31,"","","HP","Hamirpur"
"23. Male sterilization (%)",1.1,0.3,"","","HP","Hamirpur"
"24. IUD/PPIUD (%)",1.3,0.5,"","","HP","Hamirpur"
"25. Pill (%)",1.1,2.1,"","","HP","Hamirpur"
"26. Condom (%)",12.4,9.1,"","","HP","Hamirpur"
"27. Injectables (%)",0,0,"","","HP","Hamirpur"
"28. Total unmet need7 (%)",12.6,20,"","","HP","Hamirpur"
