"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",81.5,79.9,"","","MN","Bishnupur"
"2. Population below age 15 years (%)",26.4,27.7,"","","MN","Bishnupur"
"3. Sex ratio of the total population (females per 1,000 males)",1094,1032,"","","MN","Bishnupur"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",945,915,"","","MN","Bishnupur"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",83.6,69.3,"","","MN","Bishnupur"
"6. Deaths in the last 3 years registered with the civil authority (%)",24.4,NA,"","","MN","Bishnupur"
"7. Population living in households with electricity (%)",98.6,96.3,"","","MN","Bishnupur"
"8. Population living in households with an improved drinking-water source1 (%)",77.7,64,"","","MN","Bishnupur"
"9. Population living in households that use an improved sanitation facility2 (%)",52.6,40.2,"","","MN","Bishnupur"
"10. Households using clean fuel for cooking3 (%)",71.3,38.8,"","","MN","Bishnupur"
"11. Households using iodized salt (%)",99.4,99.8,"","","MN","Bishnupur"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",9.3,4.2,"","","MN","Bishnupur"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",28.6,NA,"","","MN","Bishnupur"
"14. Women who are literate4 (%)",88.4,NA,"","","MN","Bishnupur"
"15. Women with 10 or more years of schooling (%)",48.7,42.9,"","","MN","Bishnupur"
"16. Women age 20-24 years married before age 18 years (%)",20.9,14.7,"","","MN","Bishnupur"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",1,0.4,"","","MN","Bishnupur"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",5.1,9.1,"","","MN","Bishnupur"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",80.1,76,"","","MN","Bishnupur"
"20. Any method6 (%)",46.3,32.7,"","","MN","Bishnupur"
"21. Any modern method6 (%)",21.6,17.5,"","","MN","Bishnupur"
"22. Female sterilization (%)",5.3,4.3,"","","MN","Bishnupur"
"23. Male sterilization (%)",0.1,0.2,"","","MN","Bishnupur"
"24. IUD/PPIUD (%)",3.9,4,"","","MN","Bishnupur"
"25. Pill (%)",8.2,7.9,"","","MN","Bishnupur"
"26. Condom (%)",3.7,0.9,"","","MN","Bishnupur"
"27. Injectables (%)",0.2,0.1,"","","MN","Bishnupur"
"28. Total unmet need7 (%)",20,27.5,"","","MN","Bishnupur"
"29. Unmet need for spacing7 (%)",5.7,11.5,"","","MN","Bishnupur"
"30. Health worker ever talked to female non-users about family planning (%)",8.6,12.1,"","","MN","Bishnupur"
"31. Current users ever told about side effects of current method8 (%)",42.4,50.7,"","","MN","Bishnupur"
"32. Mothers who had an antenatal check-up in the first trimester (%)",84.2,87.9,"","","MN","Bishnupur"
"33. Mothers who had at least 4 antenatal care visits (%)",77.4,87,"","","MN","Bishnupur"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",88.8,94.3,"","","MN","Bishnupur"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",57.4,43.6,"","","MN","Bishnupur"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",30.5,12.8,"","","MN","Bishnupur"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",93.5,51.9,"","","MN","Bishnupur"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",79,83.8,"","","MN","Bishnupur"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",16362,8657,"","","MN","Bishnupur"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",0,0,"Based on 25-49 unweighted cases","","MN","Bishnupur"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",65.3,NA,"","","MN","Bishnupur"
"42. Institutional births (%)",89.5,86.5,"","","MN","Bishnupur"
"43. Institutional births in public facility (%)",68.6,63.1,"","","MN","Bishnupur"
"44. Home births that were conducted by skilled health personnel10 (%)",3.1,6,"","","MN","Bishnupur"
"45. Births attended by skilled health personnel10 (%)",92.6,92.5,"","","MN","Bishnupur"
"46. Births delivered by caesarean section (%)",38.2,23.4,"","","MN","Bishnupur"
"47. Births in a private health facility that were delivered by caesarean section (%)",70.8,52.5,"","","MN","Bishnupur"
"48. Births in a public health facility that were delivered by caesarean section (%)",34.2,17.7,"","","MN","Bishnupur"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",66.6,77.2,"","","MN","Bishnupur"
