Content,Page.No.,state_file,state_name,district_name,X.1
Andaman & Nicobar Islands,1,Andaman_Nicobar_Islands.pdf,Andaman Nicobar Islands,NA,NA
1. Nicobar,7,Andaman_Nicobar_Islands.pdf,Andaman Nicobar Islands,Nicobar,NA
2. North  & Middle Andaman,13,Andaman_Nicobar_Islands.pdf,Andaman Nicobar Islands,North  & Middle Andaman,NA
3. South Andaman,29,Andaman_Nicobar_Islands.pdf,Andaman Nicobar Islands,South Andaman,NA
Andhra Pradesh,1,Andhra_Pradesh.pdf,Andhra Pradesh,NA,NA
1. Anantapur,7,Andhra_Pradesh.pdf,Andhra Pradesh,Anantapur,NA
2. Chittoor,13,Andhra_Pradesh.pdf,Andhra Pradesh,Chittoor,NA
3. East Godavari,19,Andhra_Pradesh.pdf,Andhra Pradesh,East Godavari,NA
4. Guntur,25,Andhra_Pradesh.pdf,Andhra Pradesh,Guntur,NA
5. Krishna,31,Andhra_Pradesh.pdf,Andhra Pradesh,Krishna,NA
6. Kurnool,37,Andhra_Pradesh.pdf,Andhra Pradesh,Kurnool,NA
7. Prakasam,43,Andhra_Pradesh.pdf,Andhra Pradesh,Prakasam,NA
8. Sri Potti Sriramulu Nellore,49,Andhra_Pradesh.pdf,Andhra Pradesh,Sri Potti Sriramulu Nellore,NA
9. Srikakulam,55,Andhra_Pradesh.pdf,Andhra Pradesh,Srikakulam,NA
10. Visakhapatnam,61,Andhra_Pradesh.pdf,Andhra Pradesh,Visakhapatnam,NA
11. Vizianagaram,67,Andhra_Pradesh.pdf,Andhra Pradesh,Vizianagaram,NA
12. West Godavari,73,Andhra_Pradesh.pdf,Andhra Pradesh,West Godavari,NA
13. Y.S.R.,79,Andhra_Pradesh.pdf,Andhra Pradesh,Y.S.R.,NA
Arunachal Pradesh,1,Arunachal_Pradesh.pdf,Arunachal Pradesh,NA,NA
1. Anjaw,7,Arunachal_Pradesh.pdf,Arunachal Pradesh,Anjaw,NA
2. Changlang,13,Arunachal_Pradesh.pdf,Arunachal Pradesh,Changlang,NA
3. Dibang Valley,19,Arunachal_Pradesh.pdf,Arunachal Pradesh,Dibang Valley,NA
4. East Kameng,25,Arunachal_Pradesh.pdf,Arunachal Pradesh,East Kameng,NA
5. East Siang,31,Arunachal_Pradesh.pdf,Arunachal Pradesh,East Siang,NA
6. Kra Daadi,37,Arunachal_Pradesh.pdf,Arunachal Pradesh,Kra Daadi,NA
7. Kurung Kumey,43,Arunachal_Pradesh.pdf,Arunachal Pradesh,Kurung Kumey,NA
8. Lohit,49,Arunachal_Pradesh.pdf,Arunachal Pradesh,Lohit,NA
9. Longding,55,Arunachal_Pradesh.pdf,Arunachal Pradesh,Longding,NA
10. Lower Dibang Valley,61,Arunachal_Pradesh.pdf,Arunachal Pradesh,Lower Dibang Valley,NA
11. Lower Subansiri,67,Arunachal_Pradesh.pdf,Arunachal Pradesh,Lower Subansiri,NA
12. Namsai,73,Arunachal_Pradesh.pdf,Arunachal Pradesh,Namsai,NA
13. Papum Pare,79,Arunachal_Pradesh.pdf,Arunachal Pradesh,Papum Pare,NA
14. Siang,85,Arunachal_Pradesh.pdf,Arunachal Pradesh,Siang,NA
15. Tawang,91,Arunachal_Pradesh.pdf,Arunachal Pradesh,Tawang,NA
